Time1,GRFzDL1,GRFxDL1,Time1b,GRFzSL1,GRFxSL1,Time2,GRFzDL2,GRFxDL2,Time2b,GRFzSL2,GRFxSL2,Time3,GRFzDL3,GRFxDL3,Time3b,GRFzSL3,GRFxSL3
0,371.24,118.2,0,28.33,13.27,0,294.79,88,0,5.18,-1.22,0,432.2,127.93,0,3.13,-0.35
0.001,371.76,118.33,0.001,32.8,12.09,0.001,294.9,87.69,0.001,7.41,-1.78,0.001,432.31,127.84,0.001,2.73,-0.48
0.002,371.54,117.41,0.002,33.99,12.27,0.002,295.78,87.56,0.002,9.31,-2.35,0.002,432.45,127.84,0.002,3.11,-0.35
0.003,371.71,117.71,0.003,32.42,15.18,0.003,295.23,87.52,0.003,10.84,-2.96,0.003,432.39,127.66,0.003,2.91,-0.17
0.004,371.71,117.67,0.004,31.23,18.35,0.004,296.08,87.52,0.004,12.84,-3.96,0.004,432.69,127.79,0.004,2.86,-0.04
0.005,372.01,117.58,0.005,30.13,16.88,0.005,296.24,87.3,0.005,14.57,-4.22,0.005,432.61,127.66,0.005,3,-0.13
0.006,372.29,117.54,0.006,31.23,15.01,0.006,296.27,87.08,0.006,17.26,-4.65,0.006,432.58,127.58,0.006,2.87,-0.09
0.007,372.79,117.63,0.007,31.02,15.53,0.007,296.13,86.99,0.007,19.19,-4.96,0.007,432.8,127.27,0.007,4.33,-0.57
0.008,372.98,117.36,0.008,31.94,17.27,0.008,296.16,87.17,0.008,20.85,-5.09,0.008,432.61,127.14,0.008,7,-0.7
0.009,373.2,117.63,0.009,33.1,16.14,0.009,296.99,86.99,0.009,21.43,-5.18,0.009,432.86,127.09,0.009,12.45,-0.22
0.01,373.48,117.15,0.01,33.62,14.57,0.01,296.63,86.73,0.01,21.65,-5.22,0.01,432.92,126.87,0.01,17.75,0.04
0.011,373.91,117.32,0.011,33.42,15.61,0.011,297.4,86.82,0.011,22.12,-5.22,0.011,433.28,126.92,0.011,22.76,-0.26
0.012,374.22,116.97,0.012,34.24,17.09,0.012,297.4,86.91,0.012,22.96,-5.35,0.012,433.39,126.79,0.012,26.49,0.09
0.013,374.41,117.1,0.013,35.97,16.27,0.013,297.59,86.82,0.013,24.56,-5.35,0.013,433.55,127.01,0.013,29.88,-0.04
0.014,374.47,117.15,0.014,37,13.87,0.014,298.44,86.82,0.014,25.08,-4.44,0.014,433.66,126.79,0.014,33.31,-0.09
0.015,375.08,117.01,0.015,35.48,14.44,0.015,298.8,86.91,0.015,25.88,-4.48,0.015,433.5,126.74,0.015,34.53,-0.09
0.016,375.71,117.06,0.016,35.21,18.01,0.016,299.96,86.86,0.016,26.35,-4.13,0.016,433.39,126.48,0.016,32.48,-0.3
0.017,376.45,116.97,0.017,34.96,20.4,0.017,300.09,86.73,0.017,26.32,-4.65,0.017,434.55,126.35,0.017,29.77,-1.52
0.018,376.32,116.97,0.018,34.84,21.18,0.018,300.87,86.82,0.018,27.45,-4.39,0.018,434.19,126.48,0.018,26.39,-2.57
0.019,376.92,117.19,0.019,39.89,18.83,0.019,301.55,86.77,0.019,28.26,-4.31,0.019,434.49,125.95,0.019,24.02,-3.18
0.02,376.92,116.62,0.02,42.24,17.57,0.02,302.32,86.91,0.02,28.93,-4.61,0.02,434.9,126.09,0.02,25.52,-3.04
0.021,377.42,116.97,0.021,45.76,18.31,0.021,303.32,87.04,0.021,29.74,-4.7,0.021,435.15,126.13,0.021,29.41,-3.44
0.022,377.81,117.15,0.022,42.97,18.75,0.022,303.81,87.08,0.022,30.43,-5.31,0.022,435.07,125.91,0.022,33.77,-4.13
0.023,377.97,116.79,0.023,37.45,19.05,0.023,304.74,87.04,0.023,30.51,-5.22,0.023,435.24,126.04,0.023,35.42,-4.65
0.024,379.02,117.01,0.024,34.66,21.49,0.024,305.46,86.95,0.024,31.35,-5.26,0.024,436.26,125.69,0.024,35.86,-4.22
0.025,378.85,116.79,0.025,37.57,22.49,0.025,306.09,86.95,0.025,30.41,-6.31,0.025,436.15,125.56,0.025,35.54,-3.91
0.026,378.97,117.01,0.026,42.55,21.7,0.026,306.67,86.82,0.026,31.03,-6.57,0.026,436.34,125.38,0.026,35.71,-3.7
0.027,379.38,116.75,0.027,44.92,19.05,0.027,307.85,87.17,0.027,30.14,-6.57,0.027,436.39,125.38,0.027,35,-3.04
0.028,380.4,116.84,0.028,47.16,19.01,0.028,308.52,87.04,0.028,30.04,-6.22,0.028,437.11,125.6,0.028,35.12,-2.87
0.029,380.32,117.15,0.029,47.31,21.31,0.029,309.31,87.3,0.029,29.64,-6.65,0.029,436.89,125.25,0.029,36.47,-2.48
0.03,380.9,116.71,0.03,46.84,21.96,0.03,310.61,87.3,0.03,29.55,-6.96,0.03,437.41,125.38,0.03,38.04,-2.91
0.031,380.82,117.28,0.031,44.51,19.79,0.031,311.43,87.34,0.031,28.98,-6.83,0.031,438.05,125.34,0.031,39.82,-3.18
0.032,382.14,117.1,0.032,43.46,19.7,0.032,312.7,87.56,0.032,28.72,-6.52,0.032,437.99,125.12,0.032,40.08,-3.74
0.033,381.59,117.1,0.033,46.97,21.18,0.033,313.08,87.52,0.033,28.42,-6.52,0.033,438.71,124.99,0.033,38.44,-4.7
0.034,382.3,117.15,0.034,49.84,21.96,0.034,314.65,87.61,0.034,27.69,-6.74,0.034,438.71,125.21,0.034,36.12,-4.78
0.035,382.47,117.06,0.035,51.63,21.57,0.035,315.31,87.91,0.035,27.71,-6.87,0.035,438.71,124.86,0.035,34.24,-4.57
0.036,383.52,116.97,0.036,51.1,21.09,0.036,316.11,87.87,0.036,27.55,-6.96,0.036,439.15,124.9,0.036,33.51,-4.96
0.037,383.77,117.06,0.037,50.21,21.62,0.037,317.46,87.91,0.037,26.85,-7.09,0.037,439.43,125.08,0.037,34.48,-5.7
0.038,384.29,117.23,0.038,50.92,22.31,0.038,318.21,87.87,0.038,26.76,-7.22,0.038,440.22,124.86,0.038,36.07,-6.18
0.039,384.46,117.19,0.039,51.38,22.75,0.039,319.91,88.18,0.039,26.32,-7.44,0.039,440.69,124.68,0.039,35.41,-6.22
0.04,385.29,116.97,0.04,52.14,21.53,0.04,320.46,88.05,0.04,26.53,-7.35,0.04,440.89,124.81,0.04,35.01,-5.87
0.041,385.73,117.32,0.041,54.24,21.62,0.041,321.7,88.66,0.041,26.21,-7.31,0.041,440.86,124.68,0.041,34.38,-6
0.042,385.95,117.28,0.042,55.77,22.49,0.042,323.05,88.57,0.042,25.85,-7.92,0.042,441.58,124.77,0.042,33.69,-5.48
0.043,386.64,116.79,0.043,57.16,22.7,0.043,324.51,88.75,0.043,25.83,-7.39,0.043,441.93,124.51,0.043,32.17,-5.48
0.044,386.47,117.19,0.044,58.17,22.09,0.044,325.12,88.92,0.044,24.73,-7.52,0.044,442.32,124.6,0.044,31.66,-5.52
0.045,387.2,116.53,0.045,59.19,22.23,0.045,326.55,88.79,0.045,24.78,-7.44,0.045,442.65,124.33,0.045,31.8,-5.65
0.046,387.73,117.36,0.046,61.49,23.36,0.046,327.65,88.92,0.046,24.5,-7.13,0.046,443.34,124.6,0.046,31.45,-5.7
0.047,389.89,117.67,0.047,62,23.97,0.047,329.63,89.01,0.047,24.06,-6.92,0.047,443.92,124.46,0.047,30.36,-5.7
0.048,390.79,117.15,0.048,62.96,23.4,0.048,330.84,89.1,0.048,24.15,-6.74,0.048,444.33,124.33,0.048,29.23,-5.7
0.049,389.37,116.58,0.049,64.04,23.53,0.049,331.95,89.32,0.049,23.86,-6.83,0.049,444.39,124.2,0.049,28.11,-5.7
0.05,388.63,117.28,0.05,67.2,24.1,0.05,333.35,89.27,0.05,24.52,-6.83,0.05,444.88,124.33,0.05,27.42,-5.7
0.051,390.45,117.15,0.051,68.41,24.53,0.051,334.4,89.62,0.051,23.81,-6.74,0.051,445.46,124.29,0.051,26.28,-5.48
0.052,392.35,117.32,0.052,69.9,24.4,0.052,336.52,89.36,0.052,23.9,-6.44,0.052,445.82,124.03,0.052,26.7,-5.39
0.053,392.99,117.58,0.053,70.28,24.53,0.053,337.59,89.8,0.053,24.24,-6.61,0.053,447.2,123.98,0.053,26.8,-5.48
0.054,392.76,117.06,0.054,72.5,24.92,0.054,338.5,90.02,0.054,24.4,-6.35,0.054,447.12,124.24,0.054,26.71,-5.31
0.055,392.35,117.01,0.055,73.7,25.88,0.055,340.04,90.06,0.055,24.56,-6.18,0.055,447.83,123.98,0.055,27.22,-4.91
0.056,393.37,117.1,0.056,76.27,25.62,0.056,341.45,90.15,0.056,24.29,-6.13,0.056,448.63,123.98,0.056,26.79,-3.96
0.057,396.18,117.67,0.057,77.32,25.49,0.057,342.93,90.28,0.057,24.78,-5.96,0.057,449.16,124.07,0.057,26.6,-3.83
0.058,397.23,117.98,0.058,79.16,26.66,0.058,344.06,90.19,0.058,25.43,-5.65,0.058,449.79,123.68,0.058,26.16,-3.7
0.059,396.82,118.02,0.059,81.33,26.84,0.059,345.08,90.54,0.059,24.75,-5.22,0.059,450.15,124.07,0.059,25.9,-3.26
0.06,395.61,117.85,0.06,82.82,27.36,0.06,347.06,90.67,0.06,25.31,-5.13,0.06,450.86,124.29,0.06,25.55,-3.26
0.061,395.89,117.36,0.061,85.04,26.75,0.061,347.89,91.11,0.061,25.11,-4.83,0.061,451.99,123.68,0.061,26.08,-2.52
0.062,397.7,117.06,0.062,86.29,27.62,0.062,349.52,90.81,0.062,25.55,-4.44,0.062,452.08,123.81,0.062,26.16,-2.31
0.063,399.82,117.76,0.063,88.54,28.62,0.063,350.45,90.76,0.063,25.34,-4.13,0.063,453.04,123.68,0.063,26.07,-1.83
0.064,400.49,117.98,0.064,89.79,28.75,0.064,352.24,91.2,0.064,25.99,-3.65,0.064,453.4,123.68,0.064,25.76,-1.3
0.065,400.96,117.63,0.065,90.45,29.45,0.065,353.45,91.33,0.065,25.72,-3.35,0.065,453.84,123.63,0.065,25.41,-1.13
0.066,401.84,117.98,0.066,92.42,29.88,0.066,355.22,91.42,0.066,25.82,-3.61,0.066,455.27,123.72,0.066,25.69,-0.74
0.067,402.92,118.02,0.067,94.91,30.66,0.067,356.24,91.55,0.067,25.87,-3.22,0.067,455.49,123.98,0.067,25.26,-0.22
0.068,404.07,117.89,0.068,97.39,31.14,0.068,357.34,91.42,0.068,26.1,-3.09,0.068,455.99,123.98,0.068,25.54,-0.09
0.069,404.35,118.33,0.069,98.6,31.53,0.069,358.47,91.95,0.069,26.37,-2.65,0.069,456.84,123.68,0.069,25.72,-0.09
0.07,405.76,118.02,0.07,98.99,31.53,0.07,359.87,91.99,0.07,26.38,-2.35,0.07,457.64,123.72,0.07,25.89,-0.13
0.071,407.6,118.15,0.071,98.52,32.4,0.071,360.84,91.9,0.071,26.61,-2.17,0.071,458.8,123.94,0.071,26.56,0.13
0.072,407.82,118.37,0.072,99.93,33.36,0.072,362.6,92.3,0.072,26.79,-2.13,0.072,459.46,123.59,0.072,26.84,0
0.073,408.34,118.5,0.073,101.8,33.32,0.073,363.82,92.34,0.073,27.47,-1.35,0.073,460.18,123.46,0.073,27.62,0.04
0.074,409.78,118.02,0.074,104.7,32.66,0.074,365.3,92.52,0.074,26.93,-1.39,0.074,460.45,123.59,0.074,28.2,-0.09
0.075,410.22,118.24,0.075,106.56,32.88,0.075,367.01,92.56,0.075,26.73,-1.13,0.075,461.58,123.54,0.075,28.58,0.09
0.076,411.88,118.59,0.076,107.65,32.97,0.076,367.92,92.87,0.076,27.02,-0.65,0.076,463.15,123.85,0.076,29.63,-0.13
0.077,412.32,118.72,0.077,107.53,33.71,0.077,369.77,93.08,0.077,27.07,-0.57,0.077,463.57,123.68,0.077,29.93,-0.09
0.078,413.39,118.94,0.078,107.52,33.53,0.078,371.48,93.08,0.078,27.07,-0.17,0.078,464.7,123.63,0.078,30.79,-0.13
0.079,414.47,119.29,0.079,108.67,33.27,0.079,372.22,93.22,0.079,27.08,0.04,0.079,465.52,124.07,0.079,30.62,-0.22
0.08,416.26,118.72,0.08,109.13,32.97,0.08,374.04,93.22,0.08,27.51,-0.04,0.08,466.49,123.85,0.08,30.74,-0.04
0.081,417.91,119.16,0.081,110.22,32.97,0.081,375.75,93.3,0.081,27.89,0.04,0.081,467.56,123.98,0.081,31.37,0.09
0.082,418.91,119.16,0.082,111.14,32.97,0.082,376.99,93.65,0.082,27.71,0.04,0.082,468.11,123.94,0.082,31.6,0.04
0.083,419.54,119.25,0.083,112.78,32.58,0.083,379.08,93.92,0.083,27.85,0.39,0.083,469.49,123.89,0.083,32.9,0.09
0.084,421.41,119.42,0.084,113.36,32.92,0.084,380.18,94.01,0.084,28.42,-0.04,0.084,470.4,123.98,0.084,33.01,-0.13
0.085,422.13,119.69,0.085,112.93,33.01,0.085,381.75,94.4,0.085,28.13,-0.09,0.085,471.64,123.81,0.085,33.29,-0.04
0.086,423.68,119.95,0.086,114.59,32.62,0.086,382.55,94.27,0.086,28.41,-0.13,0.086,472.38,123.68,0.086,33.63,-0.13
0.087,424.37,120.17,0.087,115.9,31.79,0.087,384.73,94.62,0.087,28.73,-0.3,0.087,473.71,124.07,0.087,34.66,0.09
0.088,426.21,119.99,0.088,117.8,31.14,0.088,385.53,94.53,0.088,28.83,-0.09,0.088,474.92,124.2,0.088,35.05,0.13
0.089,427.48,120.43,0.089,118.27,30.66,0.089,387.54,94.88,0.089,28.93,-0.09,0.089,476.1,124.07,0.089,35.69,10.26
0.09,428.78,120.21,0.09,120.62,29.27,0.09,388.78,94.88,0.09,29.27,0.04,0.09,476.19,124.16,0.09,36.07,34.36
0.091,430.13,120.61,0.091,122.1,23.53,0.091,390.24,95.32,0.091,29.14,-0.09,0.091,478,124.16,0.091,36.33,33.97
0.092,431.12,120.78,0.092,119.78,23.14,0.092,391.62,95.41,0.092,29.49,0.04,0.092,479.05,124.2,0.092,41.29,27.01
0.093,432.63,120.65,0.093,125.63,28.1,0.093,393.36,96.07,0.093,29.28,0,0.093,480.4,124.51,0.093,44.55,20.01
0.094,434.51,121.05,0.094,128.48,24.79,0.094,394.65,96.28,0.094,29.83,0.09,0.094,481.17,124.55,0.094,45.48,12.09
0.095,435.53,121.26,0.095,130.47,28.05,0.095,396.5,96.46,0.095,29.5,0.04,0.095,482.71,124.55,0.095,42.3,0.91
